version, date, data sources
ChEMBL5, 2010-06-24, 4 
ChEMBL6, 2010-08-27, 5
ChEMBL7, 2010-09-29, 5
ChEMBL8, 2010-10-26, 5
ChEMBL9, 2011-01-20, 6
ChEMBL10, 2011-05-26, 7
ChEMBL11, 2011-08-01, 11
ChEMBL12, 2011-11-18, 14
ChEMBL13, 2012-02-21, 14
ChEMBL14, 2012-06-27, 16
ChEMBL15, 2013-01-23, 22
ChEMBL16, 2013-05-07, 24
ChEMBL17, 2013-08-29, 25
ChEMBL18, 2014-03-12, 26
ChEMBL19, 2014-07-03, 26
ChEMBL20, 2015-01-14, 27 
ChEMBL21, 2016-02-01, 33
ChEMBL22.1, 2016-11-08, 37
ChEMBL23, 2017-05-01, 42
ChEMBL24.1, 2018-04-23, 43
ChEMBL25, 2018-12-10, 48
ChEMBL26, 2020-01-10, 51
ChEMBL27, 2020-05-18, 52
ChEMBL28, 2021-01-15, 54
ChEMBL29, 2021-07-01, 55
ChEMBL30, 2022-02-22, 57