Year, Total Number of Entries Available, Number of Structures Released Annually
1976, 13, 13
1977, 36, 23
1978, 42, 6
1979, 53, 11
1980, 69, 16
1981, 85, 16
1982, 117, 32
1983, 153, 36
1984, 175, 22
1985, 195, 20
1986, 213, 18
1987, 238, 25
1988, 291, 53
1989, 365, 74
1990, 507, 142
1991, 694, 187
1992, 886, 192
1993, 1582, 696
1994, 2871, 1289
1995, 3812, 941
1996, 4984, 1172
1997, 6548, 1564
1998, 8604, 2056
1999, 10960, 2356
2000, 13587, 2627
2001, 16400, 2813
2002, 19394, 2994
2003, 23541, 4147
2004, 28690, 5149
2005, 34024, 5334
2006, 40431, 6407
2007, 47565, 7134
2008, 54468, 6903
2009, 61757, 7289
2010, 69502, 7745
2011, 77429, 7927
2012, 86184, 8755
2013, 95523, 9339
2014, 105085, 9562
2015, 114337, 9252
2016, 125151, 10814
2017, 136217, 11066
2018, 147386, 11169
2019, 158882, 11496
2020, 172880, 13998
2021, 185472, 12592
2022, 193455, 7983